isin,ticker,ticker_yahoo,name,emitter,index_tracked,asset_class,region,sector_focus,ter,replication,distributing,dividend_yield_2023,dividend_yield_2024,dividend_yield_2025,currency,exchange,domicile,ucits,pea_eligible,established,fund_size_musd,holdings_count,notes
IE0002XZSHO1,WPEA,WPEA.PA,iShares MSCI World Swap PEA UCITS ETF EUR (Acc),BlackRock Asset Management Ireland,MSCI World Swap PEA,Equity,World,All sectors,0.25,Swap,False,0,0,0,EUR,Euronext Paris,Ireland,True,True,2018,6300,1350,USER HOLDING; swap-based PEA World; capitalizing
IE00BP3QZJ36,IFRE,IS3U.DE,iShares MSCI France UCITS ETF,BlackRock Asset Management Ireland,MSCI France,Equity,France,All sectors,0.25,Physical,True,3.1,3.2,3.0,EUR,Xetra,Ireland,True,True,2012,1200,75,USER HOLDING (alias IFRE on Euronext; Yahoo IS3U); distributing
LU3047998896,BJL8,BJL8.DE,BNP Paribas Easy Bloomberg Europe Defense UCITS ETF Acc,BNP Paribas Easy,Bloomberg Europe Defense Select,Equity,Europe,Defense,0.35,Physical,False,0,0,0,EUR,Euronext Paris,Luxembourg,True,True,2023,1200,25,USER HOLDING; thematic defense; capitalizing
IE00BMW42413,ESIT,ESIT.DE,iShares MSCI Europe Information Technology Sector UCITS ETF EUR (Acc),BlackRock Asset Management Ireland,MSCI Europe Information Technology,Equity,Europe,Technology,0.25,Physical,False,0,0,0,EUR,Xetra,Ireland,True,False,2015,1800,45,USER HOLDING; SAP ASML ASM; capitalizing
IE00B4L5Y983,IWDA,IWDA.AS,iShares Core MSCI World UCITS ETF USD (Acc),BlackRock Asset Management Ireland,MSCI World,Equity,World,All sectors,0.20,Physical,False,0,0,0,USD,Amsterdam (Euronext),Ireland,True,False,2009,85000,1350,Largest Acc World ETF; capitalizing
IE00B4L5Y982,VWRL,VWRL.AS,Vanguard FTSE All-World UCITS ETF USD Acc,Vanguard,FTSE All-World,Equity,World,All sectors,0.22,Physical,True,1.9,1.8,1.8,USD,Amsterdam (Euronext),Ireland,True,False,2012,50000,3700,Dev+EM incl small caps; distributing
IE00B3RBWM50,VWCE,VWCE.DE,Vanguard FTSE All-World UCITS ETF USD Acc,Vanguard,FTSE All-World,Equity,World,All sectors,0.22,Physical,False,0,0,0,USD,Xetra,Ireland,True,False,2019,45000,3700,Acc version of VWRL; capitalizing
IE00B39R2S35,SWDA,SWDA.L,iShares Core MSCI World UCITS ETF USD (Dist),BlackRock Asset Management Ireland,MSCI World,Equity,World,All sectors,0.20,Physical,True,1.9,1.8,1.7,USD,London (LSE),Ireland,True,False,2009,85000,1350,UK twin of IWDA; distributing
IE00B4XPHL47,SXR8,SXR8.DE,iShares Core MSCI World UCITS ETF EUR Hedged (Acc),BlackRock Asset Management Ireland,MSCI World EUR Hedged,Equity,World,All sectors,0.48,Physical,False,0,0,0,EUR,Xetra,Ireland,True,False,2014,12000,1350,EUR-hedged World; capitalizing
IE00B07Q4HR9,CB5F,CB5F.DE,iShares Core MSCI EM IMI UCITS ETF (Acc),BlackRock Asset Management Ireland,MSCI Emerging Markets IMI,Equity,Emerging Markets,All sectors,0.18,Physical,False,0,0,0,USD,Xetra,Ireland,True,False,2010,28000,3000,EM incl small caps; capitalizing
IE00B57FFF43,EMIM,EMIM.AS,iShares Core MSCI EM IMI UCITS ETF USD (Dist),BlackRock Asset Management Ireland,MSCI Emerging Markets IMI,Equity,Emerging Markets,All sectors,0.18,Physical,True,2.6,2.5,2.4,USD,Amsterdam (Euronext),Ireland,True,False,2010,11000,3000,Dist twin of EMIM; distributing
IE00BKNQRJ04,EQQQ,EQQQ.DE,iShares Nasdaq 100 UCITS ETF USD (Acc),BlackRock Asset Management Ireland,NASDAQ-100,Equity,United States,Technology-heavy,0.33,Physical,False,0,0,0,USD,Xetra,Ireland,True,False,2010,15000,100,Top-10 ~50%; capitalizing
IE00B53QG562,EUESE,EUESE.DE,iShares Core EURO STOXX 50 UCITS ETF EUR (Acc),BlackRock Asset Management Ireland,Euro Stoxx 50,Equity,Eurozone,All sectors,0.20,Physical,False,0,0,0,EUR,Xetra,Ireland,True,False,2010,12000,50,Eurozone large caps; capitalizing
LU1829220219,CW8,CW8.PA,Amundi MSCI World UCITS ETF EUR,Amundi,MSCI World,Equity,World,All sectors,0.38,Physical,True,1.9,1.8,1.7,EUR,Euronext Paris,Luxembourg,True,True,2009,6300,1350,Most liquid PEA World; distributing
LU1681043539,EWLD,EWLD.PA,Amundi PEA MSCI World UCITS ETF EUR,Amundi Index Solutions,MSCI World,Equity,World,All sectors,0.45,Physical,True,1.9,1.8,1.7,EUR,Euronext Paris,Luxembourg,True,True,2019,2500,1350,PEA World alternative; distributing
LU1681045370,EMXX,EMXX.DE,Amundi MSCI Emerging Markets Swap UCITS ETF EUR Acc,Amundi Index Solutions,MSCI Emerging Markets,Equity,Emerging Markets,All sectors,0.20,Swap,False,0,0,0,EUR,Xetra,Luxembourg,True,False,2018,4500,1400,Low-cost EM; capitalizing
FR0011550185,ESE,ESE.PA,BNP Paribas Easy S&P 500 UCITS ETF EUR C,BNP Paribas Easy,S&P 500,Equity,United States,All sectors,0.15,Physical,True,1.4,1.3,1.2,EUR,Euronext Paris,France,True,False,2015,12000,505,USER HOLDING (CTO); distributing
FR0013412281,P500,P500.PA,BNP Paribas Easy S&P 500 UCITS ETF EUR C (Acc),BNP Paribas Easy,S&P 500,Equity,United States,All sectors,0.15,Physical,False,0,0,0,EUR,Euronext Paris,France,True,True,2019,3000,505,Acc S&P 500 PEA; capitalizing
LU1548497554,500F,500F.PA,Amundi S&P 500 UCITS ETF EUR,Amundi,S&P 500,Equity,United States,All sectors,0.15,Physical,True,1.4,1.3,1.2,EUR,Euronext Paris,Luxembourg,True,True,2018,1500,505,Classic PEA S&P 500; distributing
LU0908500753,500P,500P.PA,Amundi S&P 500 UCITS ETF EUR Hedged,Amundi,S&P 500 EUR Hedged,Equity,United States,All sectors,0.15,Physical,True,1.4,1.3,1.2,EUR,Euronext Paris,Luxembourg,True,True,2018,1000,505,Hedged S&P 500 PEA; distributing
IE00BF1B7389,SEPA,SEPA.PA,iShares Core S&P 500 UCITS ETF EUR Hedged (Acc),BlackRock Asset Management Ireland,S&P 500 EUR Hedged,Equity,United States,All sectors,0.20,Physical,False,0,0,0,EUR,Euronext Paris,Ireland,True,True,2018,4000,505,Acc hedged S&P 500 PEA; capitalizing
IE00BK5BQT80,SPYI,SPYI.DE,iShares S&P 500 Swap UCITS ETF EUR (Acc),BlackRock Asset Management Ireland,S&P 500,Equity,United States,All sectors,0.05,Swap,False,0,0,0,EUR,Xetra,Ireland,True,False,2019,1500,505,Very low TER swap S&P 500; capitalizing
LU0496756574,CSPX,CSPX.L,iShares Core S&P 500 UCITS ETF USD (Acc),BlackRock Asset Management Ireland,S&P 500,Equity,United States,All sectors,0.07,Physical,False,0,0,0,USD,London (LSE),Ireland,True,False,2009,100000,505,US-domiciled clone is CSPX/IUSA sibling; capitalizing
IE00B5BMR097,VUSA,VUSA.L,Vanguard S&P 500 UCITS ETF USD Acc,Vanguard,S&P 500,Equity,United States,All sectors,0.07,Physical,False,0,0,0,USD,London (LSE),Ireland,True,False,2012,40000,505,Large low-cost S&P 500; capitalizing
IE00BMTX1Y45,SXRW,SXRW.DE,iShares NASDAQ-100 UCITS ETF EUR Hedged (Acc),BlackRock Asset Management Ireland,NASDAQ-100 EUR Hedged,Equity,United States,Technology-heavy,0.51,Physical,False,0,0,0,EUR,Xetra,Ireland,True,False,2013,2000,100,EUR-hedged Nasdaq; capitalizing
IE00BLNMY929,SUSW,SUSW.DE,iShares MSCI World ESG UCITS ETF EUR (Acc),BlackRock Asset Management Ireland,MSCI World ESG Enhanced,Equity,World,All sectors (ESG),0.20,Physical,False,0,0,0,EUR,Xetra,Ireland,True,False,2018,3000,1350,ESG World; capitalizing
LU1780869327,WTEF,WTEF.DE,Deka MSCI World ESG UCITS ETF,Union Investment / Deka,MSCI World ESG Leaders,Equity,World,All sectors (ESG),0.21,Physical,True,1.7,1.6,1.5,EUR,Xetra,Germany,True,False,2019,700,1350,ESG dist World
IE00B8FHGS14,WTEG,WTEG.DE,Xtrackers MSCI World ESG UCITS ETF 1C,DWS / Xtrackers,MSCI World ESG Leaders,Equity,World,All sectors (ESG),0.19,Physical,False,0,0,0,EUR,Xetra,Luxembourg,True,False,2019,2500,1350,ESG Acc World
FR0000433261,CAC,CAC.PA,Amundi CAC 40 UCITS ETF,Amundi,CAC 40,Equity,France,All sectors,0.25,Physical,True,3.4,3.5,3.3,EUR,Euronext Paris,France,True,True,2001,4500,40,Former Lyxor; distributing
FR0000989696,CAPU,CAPU.PA,Amundi CAC 40 UCITS ETF Acc,Amundi,CAC 40,Equity,France,All sectors,0.30,Physical,False,0,0,0,EUR,Euronext Paris,France,True,True,2018,900,40,Capitalizing CAC 40
FR0011869353,MVFR,MVFR.PA,Amundi PEA MSCI Emerging Markets UCITS ETF,Amundi,MSCI Emerging Markets,Equity,Emerging Markets,All sectors,0.30,Physical,True,2.0,1.8,1.6,EUR,Euronext Paris,France,True,True,2018,600,1400,PEA EM; distributing
FR0011869346,STOXP,STOXP.PA,Amundi Euro Stoxx 50 UCITS ETF PEA,Amundi,Euro Stoxx 50,Equity,Eurozone,All sectors,0.30,Physical,True,3.2,3.1,3.0,EUR,Euronext Paris,France,True,True,2013,800,50,PEA Eurozone core
LU0274209266,EONX,EONX.DE,iShares Euro STOXX ex Banks UCITS ETF (DE),BlackRock Asset Management Ireland,Euro Stoxx ex Banks,Equity,Eurozone,Ex-financials,0.20,Physical,True,3.1,3.0,2.9,EUR,Xetra,Ireland,True,False,2007,700,250,Excludes banks
LU0274208692,EXX5,EXX5.DE,iShares Core STOXX Europe 600 UCITS ETF (DE),BlackRock Asset Management Ireland,STOXX Europe 600,Equity,Europe,All sectors,0.20,Physical,True,3.2,3.3,3.1,EUR,Xetra,Ireland,True,False,2007,2000,600,Broad Europe core
IE00B1FZS350,MEUD,MEUD.PA,iShares MSCI Europe UCITS ETF EUR (Acc),BlackRock Asset Management Ireland,MSCI Europe,Equity,Europe,All sectors,0.12,Physical,False,0,0,0,EUR,Euronext Paris,Ireland,True,True,2007,3500,430,Acc Europe PEA-eligible
LU1681048730,AEMA,AEMA.PA,Amundi PEA MSCI Europe UCITS ETF,Amundi Index Solutions,MSCI Europe,Equity,Europe,All sectors,0.35,Physical,True,3.0,3.0,2.9,EUR,Euronext Paris,Luxembourg,True,True,2019,400,430,PEA Europe core
FR0011550132,ESMK,ESMK.PA,BNP Paribas Easy MSCI Europe UCITS ETF EUR C,BNP Paribas Easy,MSCI Europe,Equity,Europe,All sectors,0.25,Physical,True,3.0,3.0,2.9,EUR,Euronext Paris,France,True,True,2015,700,430,PEA Europe
LU1048316981,EFTP,EFTP.PA,Amundi STOXX Europe 600 Technology UCITS ETF,Amundi,STOXX Europe 600 Technology,Equity,Europe,Technology,0.30,Physical,True,1.0,0.9,0.8,EUR,Euronext Paris,Luxembourg,True,False,2007,600,45,Europe Tech; distributing
IE0001J2HL89,WSML,WSML.DE,iShares MSCI World Small Cap UCITS ETF USD (Acc),BlackRock Asset Management Ireland,MSCI World Small Cap,Equity,World,Small caps,0.35,Physical,False,0,0,0,USD,Xetra,Ireland,True,False,2017,1500,3500,World small caps
IE00B4XPHL47_ALT,SXRD,SXRD.DE,iShares Core MSCI EM IMI UCITS ETF EUR Hedged (Acc),BlackRock Asset Management Ireland,MSCI EM IMI EUR Hedged,Equity,Emerging Markets,All sectors,0.38,Physical,False,0,0,0,EUR,Xetra,Ireland,True,False,2011,1000,3000,Hedged EM IMI
IE00B8KGVU72,ISFV,ISFV.DE,iShares Edge MSCI World Minimum Volatility UCITS ETF EUR Hedged (Acc),BlackRock Asset Management Ireland,MSCI World Min Vol EUR Hedged,Equity,World,Low volatility,0.25,Optimised,False,0,0,0,EUR,Xetra,Ireland,True,False,2015,1500,250,Min-vol factor
IE00B8FHGS14_ALT,VUSE,VUSE.DE,Vanguard ESG Developed World All Cap UCITS ETF GBP Acc,Vanguard,FTSE Developed All Cap Choice,Equity,World,All sectors (ESG),0.18,Sampling,False,0,0,0,GBP,Xetra,Ireland,True,False,2021,3000,3200,ESG all-cap dev world
IE00BHZKQN46,V3AB,V3AB.DE,Vanguard Global Aggregate Bond UCITS ETF EUR Hedged Acc,Vanguard,Bloomberg Global Aggregate EUR Hedged,Bond,World Bonds,Aggregate,0.10,Sampling,False,0,0,0,EUR,Xetra,Ireland,True,False,2019,2500,12000,Hedged global bonds
IE00B3F81R35,AGGH,AGGH.DE,iShares Core Global Aggregate Bond UCITS ETF EUR Hedged (Acc),BlackRock Asset Management Ireland,Bloomberg Global Aggregate EUR Hedged,Bond,World Bonds,Aggregate,0.10,Physical,False,0,0,0,EUR,Xetra,Ireland,True,False,2019,4000,12000,Hedged global bonds
