"datetime","date","account_type","category","type","asset_class","name","symbol","shares","price","amount","fee","tax","currency","original_amount","original_currency","fx_rate","description","transaction_id","counterparty_name","counterparty_iban","payment_reference","mcc_code"
"2025-09-25T12:26:05.316Z","2025-09-25","PEA","TRADING","BUY","FUND","MSCI World Swap PEA EUR (Acc)","IE0002XZSHO1","76.0000000000","5.8510000000","-444.68","-1.00","","EUR","","","","Buy trade IE0002XZSHO1 iShares VI plc - iShares MSCI World Swap PEA UCITS ETF EUR (Acc), quantity: 76","cb2a15f2-b7dc-44cc-9721-44d305ebed0b","","","",""
"2025-09-25T12:27:00.781Z","2025-09-25","PEA","TRADING","BUY","FUND","Easy Bloomberg Europe Defense EUR (Acc)","LU3047998896","13.0000000000","11.4080000000","-148.30","-0.74","","EUR","","","","Buy trade LU3047998896 BNPPESYBBGEUDEF U.ETFEOA, quantity: 13","4c877573-00b9-47a6-9b38-030338d41dee","","","",""
"2025-09-25T12:27:32.137Z","2025-09-25","PEA","TRADING","BUY","FUND","MSCI France EUR (Acc)","IE00BP3QZJ36","2.0000000000","59.2200000000","-118.44","-0.59","","EUR","","","","Buy trade IE00BP3QZJ36 iShares IV plc - iShares MSCI France UCITS ETF EUR (Acc), quantity: 2","7a6b8773-efde-4dee-8f2c-cc6081f4340e","","","",""
"2025-09-25T13:00:28.739Z","2025-09-25","PEA","TRADING","BUY","FUND","MSCI Europe Information Tech EUR (Acc)","IE00BMW42413","12.0000000000","7.8680000000","-94.42","-0.47","","EUR","","","","Buy trade IE00BMW42413 iShares VI plc - iShares MSCI Europe Information Technology Sector UCITS ETF EUR (Acc), quantity: 12","eeab976c-c8ea-494a-83db-528d88de4774","","","",""
"2025-10-02T09:00:40.627Z","2025-10-02","PEA","TRADING","BUY","FUND","MSCI World Swap PEA EUR (Acc)","IE0002XZSHO1","50.0000000000","5.9500000000","-297.50","","","EUR","","","","Savings plan execution IE0002XZSHO1 iShares VI plc - iShares MSCI World Swap PEA UCITS ETF EUR (Acc), quantity: 50","ca2b685e-5730-48d7-82d2-10b67819a589","","","",""
"2025-10-02T09:22:41.339Z","2025-10-02","PEA","TRADING","BUY","FUND","MSCI France EUR (Acc)","IE00BP3QZJ36","1.0000000000","61.4000000000","-61.40","","","EUR","","","","Savings plan execution IE00BP3QZJ36 iShares IV plc - iShares MSCI France UCITS ETF EUR (Acc), quantity: 1","b42a8746-bc9e-4763-aeec-4547cfc99132","","","",""
"2025-10-02T09:54:10.298Z","2025-10-02","PEA","TRADING","BUY","FUND","MSCI Europe Information Tech EUR (Acc)","IE00BMW42413","6.0000000000","8.3220000000","-49.93","","","EUR","","","","Savings plan execution IE00BMW42413 iShares VI plc - iShares MSCI Europe Information Technology Sector UCITS ETF EUR (Acc), quantity: 6","eef43cad-a38b-41a4-9bde-e5833a20a10b","","","",""
"2025-10-02T10:03:17.392Z","2025-10-02","PEA","TRADING","BUY","FUND","Easy Bloomberg Europe Defense EUR (Acc)","LU3047998896","6.0000000000","11.9100000000","-71.46","","","EUR","","","","Savings plan execution LU3047998896 BNPPESYBBGEUDEF U.ETFEOA, quantity: 6","df7469fd-b63f-4078-afd5-4dca0ab87faa","","","",""
"2025-10-02T15:03:13.237Z","2025-10-02","DEFAULT","TRADING","BUY","STOCK","NVIDIA","US67066G1040","0.6158390000","162.3800000000","-100.00","","","EUR","","","","Savings plan execution US67066G1040 NVIDIA CORP.      DL-,001, quantity: 0.615839","b7282579-a623-4120-87df-7a0fbed5d7e4","","","",""
"2025-11-03T10:04:45.352Z","2025-11-03","PEA","TRADING","BUY","FUND","MSCI World Swap PEA EUR (Acc)","IE0002XZSHO1","48.0000000000","6.1680000000","-296.06","","","EUR","","","","Savings plan execution IE0002XZSHO1 iShares VI plc - iShares MSCI World Swap PEA UCITS ETF EUR (Acc), quantity: 48","154a7fb7-2b1b-4d5a-b75f-9a872fd9b076","","","",""
"2025-11-03T10:22:18.860Z","2025-11-03","PEA","TRADING","BUY","FUND","MSCI France EUR (Acc)","IE00BP3QZJ36","1.0000000000","62.0200000000","-62.02","","","EUR","","","","Savings plan execution IE00BP3QZJ36 iShares IV plc - iShares MSCI France UCITS ETF EUR (Acc), quantity: 1","6129bb26-f806-4e7d-adb9-f470b1e85ef6","","","",""
"2025-11-03T11:00:26.170Z","2025-11-03","PEA","TRADING","BUY","FUND","MSCI Europe Information Tech EUR (Acc)","IE00BMW42413","5.0000000000","8.7030000000","-43.52","","","EUR","","","","Savings plan execution IE00BMW42413 iShares VI plc - iShares MSCI Europe Information Technology Sector UCITS ETF EUR (Acc), quantity: 5","4dda3f67-c4b8-4272-a2c8-92d50016f88e","","","",""
"2025-11-03T11:06:20.784Z","2025-11-03","PEA","TRADING","BUY","FUND","Easy Bloomberg Europe Defense EUR (Acc)","LU3047998896","6.0000000000","11.3260000000","-67.96","","","EUR","","","","Savings plan execution LU3047998896 BNP PARIBAS EASY - Bloomberg Europe Defense UCITS ETF CAPITALISATION, quantity: 6","9b88f1e9-c412-4c7e-a54e-8e650d5fb2e3","","","",""
"2025-11-03T16:01:01.521Z","2025-11-03","DEFAULT","TRADING","BUY","STOCK","NVIDIA","US67066G1040","0.2772230000","180.3600000000","-50.00","","","EUR","","","","Savings plan execution US67066G1040 NVIDIA CORP.      DL-,001, quantity: 0.277223","1661e9da-4de3-4e13-b3c1-ff5daa7f18f7","","","",""
"2025-12-02T10:08:37.907Z","2025-12-02","PEA","TRADING","BUY","FUND","MSCI World Swap PEA EUR (Acc)","IE0002XZSHO1","49.0000000000","6.0960000000","-298.70","","","EUR","","","","Savings plan execution IE0002XZSHO1 iShares VI plc - iShares MSCI World Swap PEA UCITS ETF EUR (Acc), quantity: 49","d341578e-b697-483d-8f71-70d519f6eaad","","","",""
"2025-12-02T10:23:15.281Z","2025-12-02","PEA","TRADING","BUY","FUND","MSCI France EUR (Acc)","IE00BP3QZJ36","1.0000000000","61.9800000000","-61.98","","","EUR","","","","Savings plan execution IE00BP3QZJ36 iShares IV plc - iShares MSCI France UCITS ETF EUR (Acc), quantity: 1","4f4eddc5-de52-4cf0-8416-e6c4b3223f03","","","",""
"2025-12-02T10:52:29.669Z","2025-12-02","PEA","TRADING","BUY","FUND","MSCI Europe Information Tech EUR (Acc)","IE00BMW42413","5.0000000000","8.3880000000","-41.94","","","EUR","","","","Savings plan execution IE00BMW42413 iShares VI plc - iShares MSCI Europe Information Technology Sector UCITS ETF EUR (Acc), quantity: 5","d2757c06-25c4-4460-8589-519dded3fe64","","","",""
"2025-12-02T11:03:29.428Z","2025-12-02","PEA","TRADING","BUY","FUND","Easy Bloomberg Europe Defense EUR (Acc)","LU3047998896","7.0000000000","10.0060000000","-70.04","","","EUR","","","","Savings plan execution LU3047998896 BNP PARIBAS EASY - Bloomberg Europe Defense UCITS ETF CAPITALISATION, quantity: 7","cec074f1-8d07-471e-85a6-00802e088bf0","","","",""
"2025-12-02T17:24:33.645Z","2025-12-02","DEFAULT","TRADING","BUY","STOCK","NVIDIA","US67066G1040","0.3153380000","158.5600000000","-50.00","","","EUR","","","","Savings plan execution US67066G1040 NVIDIA CORP.      DL-,001, quantity: 0.315338","0c737900-6571-4318-b193-f500a22257d6","","","",""
